ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer
"1"	"0.1uF"	"C1,C7,C8,C11,C14,C15,C16,C17,C18,C20,C25,C26,C29,C30,C37,C38,C51,C52,C57,C60,C62"	"C0603"	"21"	"C0603C104J5RACTU"	"KEMET"
"2"	"100"	"R19,R32,R33"	"C0603"	"3"	"ERJ-PA3F1000V"	"Panasonic"
"3"	"100k"	"R8,R13"	"C0603"	"2"	"ERJ-U03F1003V"	"Panasonic"
"4"	"100pF"	"C23"	"C0603"	"1"	"C0603C101J1HACAUTO"	"KEMET"
"5"	"10k"	"R2,R4,R5,R17,R20,R28"	"C0603"	"6"	"ERJ-PA3F1002V"	"Panasonic"
"6"	"10nF"	"C55,C56"	"C0603"	"2"	"C0603C103J5RACTU"	"KEMET"
"7"	"10uF"	"C9,C10"	"C1206"	"2"	"CGA5L1X7R1V106K160AC"	"TDK"
"8"	"10uF"	"C19,C24,C27,C36,C39,C41,C46,C50,C58,C59,C61"	"C0603"	"11"	"GRT188R61C106KE13D"	"Murata"
"9"	"10uH"	"L2"	"MPL-SE5040"	"1"	"MPL-SE5040-100"	"Monolithic Power Systems"
"10"	"120OHM/2A"	"FB1,FB2,FB3"	"R0603"	"3"	"MH1608-121Y"	"Bourns"
"11"	"150"	"R18,R30,R31"	"R0603"	"3"	"ERJ-PA3F1500V"	"Panasonic"
"12"	"18k"	"R29"	"R0603"	"1"	"ERJ-3RBD1802V"	"Panasonic"
"13"	"1k"	"R1,R3,R6,R26,R27"	"R0603"	"5"	"ERJ-PA3F1001V"	"Panasonic"
"14"	"1uF"	"C3,C5,C6,C28,C34,C35,C42,C45,C47,C48,C49"	"C0603"	"11"	"CGA3E1X5R1C105K080AC"	"TDK"
"15"	"2.2uF"	"C2,C21,C53,C54"	"C0603"	"4"	"C0603C225K4PAC"	"KEMET"
"16"	"20"	"R9,R21,R22"	"R0603"	"3"	"ERJ-PA3F20R0V"	"Panasonic"
"17"	"200pF"	"C32,C43,C44"	"C0603"	"3"	"C0603C221K5RACTU"	"Kemet"
"18"	"22uF"	"C12,C13"	"C0603"	"2"	"C2012X5R0J226K125AB"	"TDK"
"19"	"2A_150V"	"D1,D3"	"SOD123FL-2"	"2"	"SMD2150PL-TP"	"MCC"
"20"	"2k"	"R23,R24,R25"	"R0603"	"3"	"ERJ-PA3J202V"	"Panasonic"
"21"	"3PIN_953442_1"	"J1"	"TE_MQS_3PIN"	"1"	"953442-1"	"TE"
"22"	"4.7k"	"R7,R14,R15,R16"	"R0603"	"4"	"ERJ-PA3F4701V"	"Panasonic"
"23"	"41.2k"	"R10"	"R0603"	"1"	"ERA-3AEB4122V"	"Panasonic"
"24"	"47UF1206"	"C40"	"C1206"	"1"	"GRM31CR61C476ME44K"	"MURATA"
"25"	"47nF"	"C22,C31,C33"	"C0603"	"3"	"C0603C473J3RACTU"	"Kemet"
"26"	"51k"	"R12"	"R0603"	"1"	"ERJ-3RBD5102V"	"Panasonic"
"27"	"6PIN_5_103166_1"	"J3"	"TE_AMPMODU_6_PIN"	"1"	"5-103166-1"	"TE"
"28"	"6PIN_953442_1"	"J2"	"TE_MQS_6PIN"	"1"	"953442-1"	"TE"
"29"	"7.68k"	"R11"	"R0603"	"1"	"ERJ-PB3B7681V"	"Panasonic"
"30"	"750mA"	"F1"	"LITTLEFUSE"	"1"	"0154.750DRT"	"Littelfuse"
"31"	"ACM70V-701-2PL-TL00"	"L1"	"ACM70V-701-2PL-TL00"	"1"	"ACM70V-701-2PL-TL00"	"TDK"
"32"	"BM83SM1"	"U8"	"BM83SM1"	"1"	"BM83SM1"	"Microchip"
"33"	"CAT25128YI-GT3"	"U6"	"TSSOP-8"	"1"	"CAT25128YI-GT3"	"ONSEMI"
"34"	"DIT4096"	"U9"	"TSSOP28"	"1"	"DIT4096IPW"	"Texas Instruments"
"35"	"FT231XS"	"U3"	"SSOP20_L"	"1"	"FT231XS-R"	"FTDI"
"36"	"LED_GREEN"	"PWR,RX"	"LED-0805"	"2"	"150080VS75000"	"Wurth Elektronik"
"37"	"LED_RED"	"TX"	"LED-0805"	"1"	"150080RS75000"	"Wurth Elektronik"
"38"	"MPQ4420"	"U1"	"TSOT23-8"	"1"	"MPQ4420GJ-AEC1-Z"	"Monolithic Power Systems"
"39"	"BSS138W-7-F"	"Q1,Q2"	"SOT-23"	"2"	"BSS138W-7-F"	"Diodes"
"40"	"PAM8406"	"U11"	"SOP-16"	"1"	"PAM8406DR"	"Diodes"
"41"	"PCM12SMTR"	"J7"	"PCM12SMTR"	"1"	"PCM12SMTR"	"C&K"
"42"	"PCM5122"	"U10"	"TSSOP28"	"1"	"PCM5122PW"	"Texas Instruments"
"43"	"PIC24FJ1024GA606"	"U7"	"TQFP64"	"1"	"PIC24FJ1024GA606T-I/PT"	"Microchip"
